symbol,threshold,hold_days,count,win_rate,avg_profit,max_profit,max_loss
DOGEUSDT,6.0,1,6,66.66666666666666,0.43083717052190895,4.207956340657765,-5.428080460931971
DOGEUSDT,6.0,3,6,50.0,0.058528612735070894,5.205667561325769,-9.097341554634598
DOGEUSDT,6.0,5,6,50.0,-1.657286378929099,4.454532557809624,-8.531284746790663
DOGEUSDT,6.0,7,6,50.0,0.5034481979053119,10.398638104695706,-7.3217835842090375
DOGEUSDT,6.0,14,6,50.0,4.053351546498312,23.22264527807254,-20.32377165577961
BTCUSDT,5.0,1,135,53.333333333333336,0.46946158313566444,12.192683309102888,-14.149929666047168
BTCUSDT,5.0,3,135,54.81481481481482,0.6551316410782636,20.60390902695724,-20.102907582442718
BTCUSDT,5.0,5,135,58.51851851851851,1.77800946724161,24.539678166813733,-20.105423991463663
BTCUSDT,5.0,7,134,63.43283582089553,3.0311898102315866,35.951324743718466,-16.235640215242054
BTCUSDT,5.0,14,133,64.66165413533834,3.89328909157526,38.960339295027744,-18.28440589415039
BTCUSDT,5.2,1,76,55.26315789473685,0.64644184583016,12.192683309102888,-14.149929666047168
BTCUSDT,5.2,3,76,57.89473684210527,1.3183960962891155,20.60390902695724,-9.222784436047279
BTCUSDT,5.2,5,76,59.210526315789465,2.404486611773423,24.539678166813733,-13.16709646478439
BTCUSDT,5.2,7,75,65.33333333333333,4.056114348308037,35.951324743718466,-16.235640215242054
BTCUSDT,5.2,14,75,65.33333333333333,4.904475267494649,38.960339295027744,-18.28440589415039
BTCUSDT,5.5,1,30,46.666666666666664,0.5719548915988673,9.568582476270095,-6.550401024252301
BTCUSDT,5.5,3,30,63.33333333333333,1.596923755626724,20.60390902695724,-9.222784436047279
BTCUSDT,5.5,5,30,60.0,2.645439321970008,22.209180508346556,-13.16709646478439
BTCUSDT,5.5,7,29,72.41379310344827,4.83168508370372,31.54011125489045,-16.235640215242054
BTCUSDT,5.5,14,29,68.96551724137932,6.472393666632728,38.960339295027744,-18.28440589415039
BTCUSDT,5.8,1,8,50.0,1.8905349414634842,9.568582476270095,-3.5186441092794007
BTCUSDT,5.8,3,8,62.5,4.325043437129474,20.60390902695724,-4.711575773533451
BTCUSDT,5.8,5,8,62.5,4.099527115251293,22.209180508346556,-4.95569157722002
BTCUSDT,5.8,7,8,75.0,6.20040008725217,31.54011125489045,-3.8465971870505924
BTCUSDT,5.8,14,8,50.0,4.06994787297803,34.25553622383558,-6.077095091561487
ETHUSDT,5.0,1,157,50.955414012738856,0.10762667241034062,17.823946024865556,-17.38426845074432
ETHUSDT,5.0,3,157,57.324840764331206,0.6218902781226755,15.673673950875704,-19.572095132484705
ETHUSDT,5.0,5,157,57.961783439490446,0.9600204141262775,28.69222671239855,-25.49481025306389
ETHUSDT,5.0,7,157,56.68789808917197,1.2519914044473637,28.941088314586615,-35.27823736355617
ETHUSDT,5.0,14,157,45.22292993630573,0.5144606779486239,29.89621087314663,-33.17397754041437
ETHUSDT,5.2,1,96,48.95833333333333,0.09327720255017698,17.823946024865556,-17.38426845074432
ETHUSDT,5.2,3,96,55.208333333333336,0.36950008430573167,15.450722501137934,-18.416287838937766
ETHUSDT,5.2,5,96,56.25,0.9700875252260585,20.749204464889285,-18.920004622419835
ETHUSDT,5.2,7,96,53.125,1.2876917366176317,27.090808416389823,-20.566254366114407
ETHUSDT,5.2,14,96,41.66666666666667,-0.12450151996767511,26.08086662297176,-25.797288265062544
ETHUSDT,5.5,1,37,56.75675675675676,0.682046051932959,17.823946024865556,-5.557423681986308
ETHUSDT,5.5,3,37,56.75675675675676,0.9046604829712471,15.450722501137934,-14.521126993125538
ETHUSDT,5.5,5,37,54.054054054054056,1.1734322597559865,20.749204464889285,-15.532915882810908
