[2026-03-30 16:43:36,055] INFO     src.core.analyzer - DOGEUSDT 评分: 2.7/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:43:36,056] INFO     src.core.engine -   DOGEUSDT: 0.0935 | 评分:2.7/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:44:36,089] INFO     src.core.engine - 🔍 开始扫描 [16:44:36] | 周期:15m
[2026-03-30 16:44:36,597] INFO     src.core.analyzer - BTCUSDT 评分: 4.6/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:44:36,598] INFO     src.core.engine -   BTCUSDT: 67749.7600 | 评分:4.6/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:44:36,802] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:44:36,803] INFO     src.core.engine -   ETHUSDT: 2065.8200 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:44:37,001] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:44:37,001] INFO     src.core.engine -   SOLUSDT: 84.5400 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:44:37,196] INFO     src.core.analyzer - DOGEUSDT 评分: 2.7/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:44:37,196] INFO     src.core.engine -   DOGEUSDT: 0.0935 | 评分:2.7/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:45:17,812] INFO     src.core.binance_client - 币安API连接成功 (正式网)
[2026-03-30 16:45:28,738] INFO     src.core.analyzer - 参数已更新: {'buy_threshold': 5.0, 'sell_threshold': 2.0}
[2026-03-30 16:45:28,738] INFO     src.core.engine - ⚙️ 配置已更新: {'paper_trading': True, 'futures_enabled': False, 'scan_interval': 62, 'kline_interval': '15m', 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'DOGEUSDT'], 'buy_threshold': 5.0, 'sell_threshold': 2.0, 'buy_quantity_pct': 0.085, 'max_position_pct': 0.3, 'stop_loss_pct': 5.0, 'take_profit_pct': 10.0, 'futures_buy_threshold': 7.0, 'futures_leverage': 3, 'target_profit': 1000.0, 'daily_target': 100.0}
[2026-03-30 16:45:37,228] INFO     src.core.engine - 🔍 开始扫描 [16:45:37] | 周期:15m
[2026-03-30 16:45:37,395] INFO     src.core.analyzer - 参数已更新: {'buy_threshold': 5.0, 'sell_threshold': 2.0}
[2026-03-30 16:45:37,396] INFO     src.core.engine - ⚙️ 配置已更新: {'paper_trading': True, 'futures_enabled': False, 'scan_interval': 62, 'kline_interval': '15m', 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'DOGEUSDT'], 'buy_threshold': 5.0, 'sell_threshold': 2.0, 'buy_quantity_pct': 0.085, 'max_position_pct': 0.3, 'stop_loss_pct': 5.0, 'take_profit_pct': 10.0, 'futures_buy_threshold': 7.0, 'futures_leverage': 3, 'target_profit': 1000.0, 'daily_target': 100.0}
[2026-03-30 16:45:37,421] INFO     src.core.analyzer - BTCUSDT 评分: 3.8/9.0 信号:HOLD [MACD:1.5 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:37,421] INFO     src.core.engine -   BTCUSDT: 67765.5300 | 评分:3.8/9.0 | 信号:HOLD | [MACD:1.5 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:45:37,616] INFO     src.core.analyzer - ETHUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:37,617] INFO     src.core.engine -   ETHUSDT: 2067.5500 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:45:37,808] INFO     src.core.analyzer - SOLUSDT 评分: 3.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:37,809] INFO     src.core.engine -   SOLUSDT: 84.5800 | 评分:3.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3]
[2026-03-30 16:45:38,004] INFO     src.core.analyzer - DOGEUSDT 评分: 3.1/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:38,005] INFO     src.core.engine -   DOGEUSDT: 0.0935 | 评分:3.1/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:45:55,442] INFO     src.core.engine - ⏹️ 引擎已停止
[2026-03-30 16:45:57,152] INFO     src.core.binance_client - 币安API连接成功 (正式网)
[2026-03-30 16:45:57,152] INFO     src.core.engine - 🔍 开始扫描 [16:45:57] | 周期:15m
[2026-03-30 16:45:57,153] INFO     src.core.engine - 🚀 小牛量化引擎启动 | 📋模拟交易 | 监控: BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT
[2026-03-30 16:45:57,363] INFO     src.core.analyzer - BTCUSDT 评分: 4.3/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:57,364] INFO     src.core.engine -   BTCUSDT: 67769.9700 | 评分:4.3/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:45:57,597] INFO     src.core.analyzer - ETHUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:57,597] INFO     src.core.engine -   ETHUSDT: 2067.5600 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:45:57,806] INFO     src.core.analyzer - SOLUSDT 评分: 3.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:57,806] INFO     src.core.engine -   SOLUSDT: 84.5800 | 评分:3.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3]
[2026-03-30 16:45:58,013] INFO     src.core.analyzer - DOGEUSDT 评分: 3.1/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:45:58,013] INFO     src.core.engine -   DOGEUSDT: 0.0935 | 评分:3.1/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:46:08,026] INFO     src.core.analyzer - 参数已更新: {'buy_threshold': 3.0, 'sell_threshold': 2.0}
[2026-03-30 16:46:08,027] INFO     src.core.engine - ⚙️ 配置已更新: {'paper_trading': True, 'futures_enabled': False, 'scan_interval': 62, 'kline_interval': '15m', 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'DOGEUSDT'], 'buy_threshold': 3.0, 'sell_threshold': 2.0, 'buy_quantity_pct': 0.085, 'max_position_pct': 0.3, 'stop_loss_pct': 5.0, 'take_profit_pct': 10.0, 'futures_buy_threshold': 7.0, 'futures_leverage': 3, 'target_profit': 1000.0, 'daily_target': 100.0}
[2026-03-30 16:46:39,811] INFO     src.core.engine - 🔍 开始扫描 [16:46:39] | 周期:15m
[2026-03-30 16:46:40,022] INFO     src.core.analyzer - BTCUSDT 评分: 4.3/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:40,022] INFO     src.core.engine -   BTCUSDT: 67782.2100 | 评分:4.3/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:46:40,226] INFO     src.core.analyzer - ETHUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:40,226] INFO     src.core.engine -   ETHUSDT: 2067.4900 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:46:40,433] INFO     src.core.analyzer - SOLUSDT 评分: 3.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:40,434] INFO     src.core.engine -   SOLUSDT: 84.5900 | 评分:3.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3]
[2026-03-30 16:46:40,639] INFO     src.core.analyzer - DOGEUSDT 评分: 3.1/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:40,639] INFO     src.core.engine -   DOGEUSDT: 0.0935 | 评分:3.1/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:46:41,067] INFO     src.core.engine - ⏹️ 引擎已停止
[2026-03-30 16:46:42,703] INFO     src.core.binance_client - 币安API连接成功 (正式网)
[2026-03-30 16:46:42,704] INFO     src.core.engine - 🔍 开始扫描 [16:46:42] | 周期:15m
[2026-03-30 16:46:42,704] INFO     src.core.engine - 🚀 小牛量化引擎启动 | 📋模拟交易 | 监控: BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT
[2026-03-30 16:46:42,892] INFO     src.core.analyzer - BTCUSDT 评分: 4.3/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:42,893] INFO     src.core.engine -   BTCUSDT: 67769.9800 | 评分:4.3/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:46:43,078] INFO     src.core.analyzer - ETHUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:43,079] INFO     src.core.engine -   ETHUSDT: 2066.9200 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:46:43,265] INFO     src.core.analyzer - SOLUSDT 评分: 3.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:43,266] INFO     src.core.engine -   SOLUSDT: 84.5900 | 评分:3.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3]
[2026-03-30 16:46:43,451] INFO     src.core.analyzer - DOGEUSDT 评分: 2.8/9.0 信号:HOLD [MACD:0.5 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:43,452] INFO     src.core.engine -   DOGEUSDT: 0.0934 | 评分:2.8/9.0 | 信号:HOLD | [MACD:0.5 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:46:53,620] INFO     src.core.engine - 🔍 开始扫描 [16:46:53] | 周期:15m
[2026-03-30 16:46:53,804] INFO     src.core.analyzer - BTCUSDT 评分: 4.3/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:53,805] INFO     src.core.engine -   BTCUSDT: 67776.1000 | 评分:4.3/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:46:53,991] INFO     src.core.analyzer - ETHUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:53,992] INFO     src.core.engine -   ETHUSDT: 2067.1500 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:46:54,172] INFO     src.core.analyzer - SOLUSDT 评分: 3.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:54,173] INFO     src.core.engine -   SOLUSDT: 84.6000 | 评分:3.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.0 KDJ:0.3]
[2026-03-30 16:46:54,356] INFO     src.core.analyzer - DOGEUSDT 评分: 3.1/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:46:54,357] INFO     src.core.engine -   DOGEUSDT: 0.0935 | 评分:3.1/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:47:19,859] INFO     src.core.analyzer - 参数已更新: {'buy_threshold': 3.0, 'sell_threshold': 2.0}
[2026-03-30 16:47:19,859] INFO     src.core.engine - ⚙️ 配置已更新: {'paper_trading': True, 'futures_enabled': False, 'scan_interval': 60, 'kline_interval': '15m', 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'DOGEUSDT'], 'buy_threshold': 3.0, 'sell_threshold': 2.0, 'buy_quantity_pct': 0.085, 'max_position_pct': 0.3, 'stop_loss_pct': 5.0, 'take_profit_pct': 10.0, 'futures_buy_threshold': 7.0, 'futures_leverage': 3, 'target_profit': 1000.0, 'daily_target': 100.0}
[2026-03-30 16:47:45,481] INFO     src.core.engine - 🔍 开始扫描 [16:47:45] | 周期:15m
